Source	ItemID	kText	cText
string	$0	군주	王子
string	$1	군주	公主
string	$2	기사	騎士
string	$3	기사	騎士
string	$4	마법사	魔法師
string	$5	마법사	魔法師
string	$6	요정	妖精
string	$7	요정	妖精
string	$8	다크엘프	黑暗妖精
string	$9	다크엘프	黑暗妖精
string	$10	뉴클래스	技師
string	$11	뉴클래	技師
string	$12	무질서한	邪惡
string	$13	중립적인	中立
string	$14	준법적인	正義
string	$15	왕자는 팀의 지도자가 될 수 있으며 무기와 갑옷을 다루지만 마법은 쓰지 못합니다.	王子是一個隊伍的領導者，擅於武器和盔甲，能使用少許的魔法。
string	$16	공주는 팀의 지도자가 될 수 있으며 무기와 갑옷을 다루지만 마법은 쓰지 못합니다.	公主是一個隊伍的領導者，擅於武器和盔甲，能使用少許的魔法。
string	$17	기사는 무기 갑옷을 잘 다루고 전투를 잘하지만 마법은 쓰지 못합니다.	騎士可裝備武器和盔甲，且對戰鬥非常出色，但是無法使用魔法。
string	$18	마법사는 마법을 잘 사용하지만 무기는 잘 다루지 못하고 무거운 갑옷을 입지 못합니다.	魔法師很了解法術，但是只能使用部份的武器和較輕的盔甲。
string	$19	그림자는 빠르고 조용하게 움직일 수 있습니다.	影子的動作很快，且移動的時候幾乎沒有聲音。
string	$20	요정족은 미모가 뛰어나며 요정족 무기와 갑옷에 능숙합니다.	妖精具有很高的神力，且可製造妖精族武器和盔甲。
string	$21	도둑은 다른 사람의 물건을 훔칠 수 있습니다.	盜賊可偷其他人的東西。
string	$22	기술자는 화약을 잘 다룹니다.	技師了解有關各種不同的物品，尤其粉末和槍。
string	$23	게임에서 사용할 이름을 정하세요. 한글 1~6자, 영어 2~12자.	請指定在遊戲上使用的名稱。中文1~6字，英文2~12字，請勿使用特殊字元。
string	$24	암호를 정하세요. 최소 4자.	請指定密碼。最少8字。
string	$25	확인을 위해 암호를 한 번 더 입력하세요.	為了確認密碼，請再輸入一次。
string	$26	게임에서의 성별을 선택하세요.	請選擇遊戲裡的性別。
string	$27	이름	名稱
string	$28	암호	密碼
string	$29	암호 확인	確認密碼
string	$30	성별	性別
string	$31	남	男
string	$32	여	女
string	$33	직업	職業
string	$34	만들기	創造
string	$35	취소	取消
string	$36	캐릭터 만들기	創造人物
string	$37	접속	登錄
string	$38	새로 만들기...	創造新的角色…
string	$39	리니지	天堂
string	$40	서버에 접속 중입니다...	正在連接伺服器…
string	$41	갱신된 파일이 있는지 조사 중입니다...	正在檢查更新案…
string	$42	서버에 접속할 수 없습니다. 5분쯤후에 다시 접속하십시오.	連結關閉
string	$43	%s의 주소를 알수 없습니다.	無法知道%s的位址。
string	$44	서버가 시간내에 응답하지 않습니다.	連結關閉
string	$45	모르는 에러 %d	未知的錯誤%d
string	$46	에러	錯誤
string	$47	접속이 끊어졌습니다.	斷線。
string	$48	파일을 받고 있습니다.	正在接收檔案。
string	$49	lin.bin을 실행할 수 없습니다.	無法執行lin.bin。
string	$50	정말 끝냅니까? (Y/N)	確定要離開？ [Y/N]
string	$51	%s를(을) 읽어들일 수 없습니다.	無法讀取%s。
string	$52	클라이언트 프로그램 버젼이 낮습니다. 새 버젼을 다운로드 받으십시오.	用戶端版本配合錯誤。請重新下載用戶端程式。
string	$53	이름이 잘못되었습니다. 다른 이름을 입력하십시오.	無效的名字。 若您擅自修改，將無法進行遊戲。
string	$54	두개 암호가 같지 않습니다. 같은 암호를 입력하십시오.	密碼不同。請重新輸入。
string	$55	암호가 너무 짧습니다. 8자 이상의 암호를 입력하십시오.	密碼太短。請至少輸入８個字元。
string	$56	암호가 잘못되었습니다. 암호에는 영문자 이외의 글자를 하나 이상 넣어주십시오.	您輸入的密碼錯誤。再次確認您所輸入的密碼是否正確，或電洽遊戲橘子客服中心(02)8024-2002。
string	$57	같은 이름의 계정이 이미 있습니다. 다른 이름을 입력하십시오.	已經有同樣的帳號。請重新輸入。
string	$58	같은 이름의 캐릭터가 이미 있습니다. 다른 이름을 입력하십시오.	已經有同樣的角色名稱。請重新輸入。
string	$59	전자우편 주소가 잘 못 되었습니다. 전자우편 주소를 바르게 입력하십시오.	您的電子郵件是無效的。請再輸入電子郵件的正確的地址。
string	$60	나라이름이 잘 못 되었습니다. 나라이름을 바르게 입력하십시오.	國家名稱是無效的。請重新輸入國家名稱。
string	$61	잘못된 클래스입니다.	錯誤職業。請將此BUG通知製作單位。
string	$62	잘못된 성별입니다.	錯誤性別。請將此BUG通知製作單位。
string	$63	잘못된 능력치입니다.	錯誤能力值。請將此BUG通知製作單位 
string	$64	서버와의 접속이 끊어졌습니다.	連線中斷。
string	$65	접속 정보가 일치하지 않습니다.	密碼錯誤。
string	$66	이미 사용 중입니다.	已經使用中。
string	$67	30레벨 이상 캐릭터를 삭제하는데는<BR>7일간의 시간이 소요됩니다.<BR>삭제대기 기간중에는 취소가 가능합니다.<BR>\fZ%s\f>의 삭제를 시작하시겠습니까? 	刪除5級以上的角色需要等候7天。           在七天之內能取消刪除，您確定真的要刪除角色\fZ%s\f>嗎？
string	$68	도움말을 보려면 CTRL-H 를 눌러 주십시오.	若想觀看說明請按F1。
string	$69	\f1%0%s 게임에 들어왔습니다.	\f1%0%s 進入遊戲。
string	$70	\f1%0%s 게임에서 나갔습니다.	\f1%0%s 離開遊戲。
string	$71	\f1%0의 접속이 끊어졌습니다.	中斷與\f1%0的連接。
string	$72	\f3게임이 %0초후에 중단됩니다. 게임을 중단해 주십시오.	\f3伺服器將會在 %0 秒後關機。請玩家先行離線。
string	$73	\f1%0%d 게임을 하고 있지 않습니다.	\f1%0%d 不在線上。
string	$74	\f1%0%o 사용할 수 없습니다.	\f1%0%o 無法使用。
string	$75	\f1더이상 물건을 넣을 자리가 없습니다.	\f1沒有多餘的空間可以儲存。
string	$76	\f1%0%o 먹었습니다.	\f1吃 %0%o。
string	$77	\f1기분이 좋아졌습니다.	\f1你覺得舒服多了。
string	$78	무엇을 원합니까?	你想要什麼？ 
string	$79	\f1아무일도 일어나지 않았습니다.	\f1沒有任何事情發生。
string	$80	어디로 가기를 원합니까?	你要去那裡？ 
string	$81	\f1현재 사용자: %0	\f1目前線上的使用者: %0
string	$82	소지품이 너무 무거워서 더 들 수 없습니다.	此物品太重了，所以你無法攜帶。
string	$83	창설할 혈맹의 이름은?	你所創立的血盟名稱？
string	$84	\f1%0 혈맹이 창설되었습니다.	創立\f1%0 血盟。
string	$85	\f1왕자와 공주만이 혈맹을 창설할 수 있습니다.	\f1王子和公主才可創立血盟。
string	$86	\f1이미 혈맹을 창설하였습니다.	\f1已經創立血盟。
string	$87	\f1다른 혈맹에 가입하다니요! 당신은 왕자입니다!	\f1你是王子！無法加入別的血盟！
string	$88	\f1다른 혈맹에 가입하다니요! 당신은 공주입니다!	\f1你是公主！無法加入別的血盟！
string	$89	\f1이미 혈맹에 가입했습니다.	\f1你已經有血盟了。
string	$90	\f1%0%d 혈맹을 창설하지 않은 상태입니다.	\f1%0%d 尚未創立血盟。
string	$91	\f1%0%s 당신을 보고 있지 않습니다.	\f1%0%s 沒有面對看你。
string	$92	\f1%0%d 왕자나 공주가 아닙니다.	\f1%0%d 不是王子或公主。
string	$93	\f1거기엔 아무도 없습니다.	\f1你注視的地方沒有人。
string	$94	\f1%0%o 혈맹의 일원으로 받아들였습니다.	\f1你接受%0當你的血盟成員。
string	$95	\f1%0 혈맹에 가입하였습니다.	\f1加入%0血盟。
string	$96	\f1%0%s 당신의 요청을 거절하였습니다.	\f1%0%s 拒絕你的請求。
string	$97	%0%s 혈맹에 가입하기를 원합니다. 승낙하시겠습니까? (Y/N)	\f3%0%s 想加入你的血盟。你接受嗎。(Y/N) 
string	$98	\f1혈맹이름이 너무 깁니다.	\f1血盟的名稱太長。
string	$99	\f1같은 이름의 혈맹이 존재합니다.	\f1那個血盟名稱已經存在。
string	$100	누구에 대한 복수를 위임합니까?	委託他對誰報仇？ 
string	$101	%0%s 당신을 해친 적이 없습니다.	%0%s 沒有傷害過你。
string	$102	%0%s 자기 대신 %1%o 죽여 달라고 부탁합니다. 승낙하시겠습니까? (Y/N)	%0%s 委託你替他殺死%1%o 。你接受嗎？ (Y/N) 
string	$103	당신은 %0 대신 %1에게 복수해주기로 했습니다.	你答應替%0報仇 %1。
string	$104	%0%s %1에게 복수해주기로 했습니다.	決定報仇%0%s %1。
string	$105	당신은 이미 3명에게 복수를 부탁하였습니다.	你已經委託3個人了。
string	$106	리니지 홈페이지 http://www.lineage.co.kr 를 방문하세요.	請瀏覽天堂網站 http://www.lineage.com.tw/  。
string	$107	누구를 추방하시겠습니까?	要驅逐誰？
string	$108	\f3%0%s 추방되었습니다.	\f3%0%s 被驅逐。
string	$109	%0 라는 이름을 가진 사람이 없습니다.	沒有叫%0的人。
string	$110	\f1소지품이 너무 무거워서 전투를 할 수 없습니다.	\f1當負重過重的時候，無法戰鬥。
string	$111	\f1괴물 눈이 노려 보자 몸이 얼어 붙었습니다.	\f1你的身體慢慢凍結。
string	$112	\f1다시 움직일 수 있습니다.	\f1你可以動了。
string	$113	차단된 사용자: %0	停用帳號的使用者: %0
string	$114	차단된 사용자가 없습니다.	沒有停用帳號的使用者。
string	$115	%0%o 차단했습니다.	你斷絕%0%o對你的密語。
string	$116	%0의 차단을 풀었습니다.	你回復%0對你的密語。
string	$117	%0%s 당신을 차단했습니다.	%0%s 斷絕你的密語。
string	$118	%0%s 당신의 차단을 해제했습니다.	%0%s 你可以使用帳號。
string	$119	몇개를 내려 놓겠습니까? (1-%u, Enter=모두, Esc=취소)	請輸入要丟的東西數量？ (1-%u， Enter=全部，Esc=取消) 
string	$120	%s 화일이 변경되었습니다. 리니지를 다시 설치하십시오.	檔案 %s 變更。請重新安裝天堂。
string	$121	몇개를 집겠습니까? (1-%u, Enter=모두, Esc=취소)	要撿幾個？ (1-%u， Enter=全部，Esc=取消) 
string	$122	\fF%0%s %1%o 착용했습니다.	\fF%0%s %1%o 裝備了。
string	$123	\fF%0%s %1%o 벗었습니다.	\fF%0%s %1%o 脫掉了。
string	$124	\f1이미 뭔가를 착용하고 있습니다.	\f1已經裝備其他東西。
string	$125	\f1삭제 불가능 아이템이나 착용하고 있는 아이템은 버릴 수 없습니다.	\f1你不能夠丟下你正穿著的東西。
string	$126	\f1%1 위에 %0%o 입을수 없습니다.	\f1穿著%1 無法裝備 %0%o 。
string	$127	\f1그것을 벗을수 없습니다.	\f1你不能夠脫掉那個。
string	$128	\f1방패를 착용하고서는 두손 무기를 쓸수 없습니다.	\f1當你拿著一個盾時，你無法使用雙手武器。
string	$129	\f1두손 무기를 무장하고 방패를 착용할 수 없습니다.	\f1當你使用雙手武器時，無法裝備盾牌。
string	$130	\f1전투중에 재시작할수 없습니다.	\f1戰鬥中，無法重新開始。
string	$131	\f1전투중에 그만둘수 없습니다.	\f1戰鬥中無法離開遊戲。
string	$132	\f1자동저장.	\f1自動存檔。
string	$133	소지품 창에서 확인하고 싶은 아이템을 선택하십시오.	請在道具視窗上選擇要鑑定的物品。
string	$134	\f1%0: 작은 괴물 타격 %1 큰 괴물 타격 %2	\f1%0：對小怪物的傷害 %1   對大怪物的傷害 %2
string	$135	\f1%0: 방어력 %1 방어구	\f1%0：防禦力 %1 防禦裝備
string	$136	\f1%0: 배부른 정도 %1 [무게 %2]	\f1%0：營養度 %1 [重量 %2]
string	$137	\f1%0: 사용 가능 횟수 %1 [무게 %2]	\f1%0：可使用的次數 %1 [重量 %2]
string	$138	\f1%0 [무게 %1]	\f1%0 [重量 %1]
string	$139	\f1배가 고파서 외칠 수 없습니다.	\f1你餓得喊不出話來。
string	$140	몇개를 주겠습니까? (1-%u, Enter=모두, Esc=취소)	要給幾個？ (1-%u， Enter=全部，Esc=取消)
string	$141	\f1착용하고 있는 것을 줄수 없습니다.	\f1你不能夠將轉移已經裝備的物品。
string	$142	\f1너무 멀어서 줄수 없습니다.	\f1距離太遠不能給東西。
string	$143	\f1%0%s 당신에게 %1%o 주었습니다.	\f1%0%s 給你 %1%o 。
string	$144	\f1이미 양손에 반지를 끼고 있습니다.	\f1你已經戴著二個戒指。
string	$145	한번 PK가 되면 되돌릴수 없습니다. 그래도 PK가 되겠습니까? (Y/N)	一旦成為玩家殺手，將永遠地成為玩家殺手。你仍然要當玩家殺手嗎？ (Y/N)
string	$146	\f1당신은 이제 PK입니다.	\f1你現在是玩家殺手。
string	$147	\f1어두운 그림자가 당신을 덮습니다.	\f1黑暗的影子籠罩著你。
string	$148	\f1다시 볼 수 있습니다.	\f1你重見光明。
string	$149	\f1%0%s 손에 달라 붙었습니다.	\f1%0%s 主動固定在你的手上！
string	$150	\f1그렇게 할 수 없습니다. 저주 받은 것 같습니다.	\f1你無法這樣做。這個物品已經被詛咒了。
